Index,Standing screen display size,Screen Resolution,Max Screen Resolution,Processor,RAM,Memory Speed,Hard Drive,Graphics Coprocessor,Chipset Brand,Card Description,Graphics Card Ram Size,Wireless Type,Number of USB 3.0 Ports,Average Battery Life (in hours),Brand,Series,Item model number,Hardware Platform,Operating System,Item Weight,Product Dimensions,Item Dimensions  LxWxH,Color,Processor Brand,Number of Processors,Computer Memory Type,Flash Memory Size,Hard Drive Interface,Optical Drive Type,Voltage,Batteries,Power Source,Number of USB 2.0 Ports,Hard Drive Rotational Speed,National Stock Number,Rear Webcam Resolution,Package Dimensions,Audio-out Ports (#),Manufacturer,Language,ASIN,Date First Available,Department,Is Discontinued By Manufacturer,Country of Origin,Cover Material,Number of Items,Ruling,Sheet Size,Manufacturer Part Number,Part Number,Size,Style,Wattage,Item Package Quantity,Display Style,Special Features,Usage,Included Components,Batteries Included?,Batteries Required?,Battery Cell Type,Warranty Description,Price($)
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1699.0
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,919.08
3,‎15.6 Inches,‎1920 x 1080 pixels,‎1920x1080,‎4.1 GHz ryzen_3,‎8 GB LPDDR5,‎3200 MHz,‎128 GB SSD,‎AMD Radeon Graphics,‎AMD,‎Integrated,‎8 GB,"‎Bluetooth, 802.11ax",‎3,‎11 Hours,‎acer,‎Laptop,‎NX.KJBAA.001,‎PC,‎Windows 11 S,‎3.92 pounds,‎14.29 x 0.74 x 9.35 inches,‎14.29 x 0.74 x 9.35 inches,‎Silver,‎AMD,‎4,‎DDR5 RAM,‎128 GB,‎Solid State,‎No Optical Drive,‎240 Volts,‎1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.99
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,799.0
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1333.08
7,‎14 Inches,‎1366 x 768 pixels,‎1366 x 768 Pixels,‎1.1 GHz celeron_n,‎8 GB DDR4,‎2400 MHz,‎64 GB SSD,‎Intel UHD Graphics 600,‎Intel,‎Integrated,‎8 GB,"‎Bluetooth, 802.11a/g/n/ac",‎3,‎11 Hours,‎HP,‎HP Laptop,‎HP,,‎Windows 11 Home,‎3.24 pounds,‎8.86 x 12.76 x 0.71 inches,‎8.86 x 12.76 x 0.71 inches,‎Snowflake White,‎Intel,‎4,‎DDR4 SDRAM,‎64 GB,‎Solid State,‎No optical storage drive,‎41 Volts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.99
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1078.2
9,‎16 Inches,‎1366 x 768 pixels,‎1366 x 768 pixels,‎4.9 GHz core_i7,‎16 GB DDR5,,‎SSD,‎NVIDIA GeForce RTX 4060,‎NVIDIA,‎Dedicated,,,‎2,,‎ASUS,‎Strix G16,‎G614JV-AS74,,‎Windows 11 Home,‎10.13 pounds,‎13.94 x 0.89 x 10.39 inches,‎13.94 x 0.89 x 10.39 inches,‎Eclipse Gray,‎Intel,‎14,‎DDR5 RAM,‎1 TB,,,,‎1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1186.38
10,‎15.6 Inches,‎1366 x 768 pixels,‎1366 x 768 Pixels,‎3 GHz core_i3_family,‎32 GB DDR4,,‎1 TB SSD,‎Intel UHD Graphics,‎Intel,‎Integrated,‎32 GB,‎Bluetooth,‎1,,‎HP,‎TPN-Q222,‎TPN-Q222,‎PC,‎Windows 11 Home,‎3.75 pounds,‎14.1 x 9.53 x 0.71 inches,‎14.1 x 9.53 x 0.71 inches,‎Silver,‎Intel,‎2,‎DDR4 SDRAM,,‎PCIE x 4,‎no optical storage device,‎5 Volts,‎1 Lithium Ion batteries required. (included),‎AC & Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369.0
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1949.58
12,‎14 Inches,‎1366 x 768 pixels,‎1366 x 768 Pixels,‎2.6 GHz celeron,‎4 GB DDR4,‎2.6 GHz,‎64 GB SSD,‎Intel,‎Intel,‎Integrated,‎4 GB,"‎Bluetooth, 802.11a",‎1,,‎HP,‎HP 14inch Laptop,"‎HP 14"" Laptop",‎PC,‎Windows 11,‎4.45 pounds,‎12.9 x 8.9 x 0.9 inches,‎12.9 x 8.9 x 0.9 inches,‎Dale Pink,‎Intel,‎2,‎DDR4 SDRAM,‎64 GB,‎Solid State,‎No Optical Drive,,‎1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.4
13,‎14,‎1366 x 768 pixels,‎1366x768 Pixels,‎2.6 GHz celeron_n,‎4 GB DDR4,‎2400 MHz,‎64 GB Emmc,‎Intel UHD Graphics 600,‎Intel,‎Integrated,‎4 GB,‎802.11a/b/g/n/ac,‎3,,‎HP,‎HP Chromebook,‎HP Chromebook,,‎Chrome OS,‎0.634 ounces,‎12.85 x 0.72 x 8.94 inches,‎12.85 x 0.72 x 8.94 inches,‎Gray,‎Intel,‎4,‎DDR4 SDRAM,,‎Solid State,‎No Optical Drive,‎5 Volts,‎1 Lithium Ion batteries required.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.0
14,‎15.6 Inches,‎1927 x 1080 pixels,‎1920x1080,‎2.4 GHz apple_ci7,‎16 DDR5,,‎512 GB SSD,‎NVIDIA GeForce RTX 4050,‎NVIDIA,‎Dedicated,‎6 GB,"‎Bluetooth, 802.11ax",‎4,,‎acer,‎Nitro V,‎ANV15-51-73B9,,‎Windows 11 Home,‎4.66 pounds,‎14.26 x 0.93 x 9.44 inches,‎14.26 x 0.93 x 9.44 inches,‎Black,‎Intel,‎10,,‎512 GB,‎NVMe,,‎230 Volts,‎1 Lithium Ion batteries required. (included),‎Battery Powered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,849.99
15,‎15.6 Inches,‎1920 x 1080 pixels,‎1920x1080,‎2.1 GHz apple_ci5,‎8 DDR5,,‎512 GB SSD,‎NVIDIA GeForce RTX 4050,‎NVIDIA,‎Dedicated,‎6 GB,"‎Bluetooth, 802.11ax",‎4,,‎acer,‎Nitro V,‎ANV15-51-51H9,,‎Windows 11 Home,‎4.66 pounds,‎14.26 x 0.93 x 9.44 inches,‎14.26 x 0.93 x 9.44 inches,‎Black,‎Intel,‎8,‎DDR5 RAM,‎512 GB,‎PCIE x 4,,‎230 Volts,‎1 Lithium Ion batteries required. (included),‎Battery Powered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,774.99
16,‎15.6 Inches,‎1920 x 1080 pixels,‎1920x1080 Pixels,‎2.1 GHz amd_ryzen_5_5500u,‎8 GB DDR4,,‎512 GB SSD,‎Intel HD Graphics 400,‎AMD,‎Integrated,,‎802.11bgn,‎1,‎10 Hours,‎Lenovo,"‎Ideapad 1 15"" - 82R400EMUS",‎82R400EMUS,‎PC,‎Windows 11 Home,‎3.52 pounds,‎9.29 x 14.17 x 0.7 inches,‎9.29 x 14.17 x 0.7 inches,‎Gray,‎AMD,‎1,‎DDR4 SDRAM,‎512 GB,‎Solid State,,,‎1 Lithium Polymer batteries required. (included),,‎1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.0
18,‎13.3 Inches,‎1366 x 768 pixels,‎1440 x 900 Pixels,‎1.8 GHz core_i5,‎8 GB LPDDR3,‎1.8 GHz,‎128 GB,‎Intel HD Graphics 6000,‎Intel,‎Integrated,,"‎Bluetooth, 802.11a",,,‎Apple,‎MacBook Air,‎MQD32LL/A,,‎macOS 10.12 Sierra,‎3 pounds,‎16 x 12 x 10 inches,‎16 x 12 x 10 inches,,‎Intel,‎2,,‎128 GB,‎USB,,,‎1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.99
19,‎15.6 Inches,‎1366 x 768 pixels,‎1366 x 768 Pixels,‎4.1 GHz apple_ci3,‎16 GB DDR4,‎2400 MHz,‎1 TB SSD,‎Intel UHD Graphics,‎Intel,‎Integrated,‎1 GB,"‎Bluetooth, 802.11ab",‎1,,‎HP,‎hp laptop,‎hp laptop,‎PC,‎Windows 11 Home,‎3.74 pounds,‎14.1 x 9.53 x 0.71 inches,‎14.1 x 9.53 x 0.71 inches,‎Natural silver,‎Intel,‎2,‎DDR4 SDRAM,‎1 TB,‎Solid State,‎No Optical Drive,‎7.4 Volts,‎1 Lithium Ion batteries required.,‎Battery Powered,,‎5600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.2
20,‎15.59,‎1920 x 1080 pixels,,‎1.3 celeron,‎16 GB DDR4,,‎1 TB SSD,,‎Intel,‎Integrated,,‎Bluetooth,‎2,,‎Lenovo,‎V15,‎G2,,‎Windows 11,‎5.09 pounds,‎15.6 x 2 x 12 inches,‎15.6 x 2 x 12 inches,,‎Intel,‎2,‎DDR4 SDRAM,,,,‎5 Volts,,,‎2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.99
21,‎15.6 Inches,‎1920 x 1080 pixels,‎1920 x 1080 Pixels,‎4.2 GHz core_i5,‎32 GB DDR4,,‎1 TB SSD,‎Intel Iris Xe Graphics,‎Intel,‎Integrated,,‎802.11ac,‎1,‎8.25 Hours,‎HP,‎Essential,‎G8,‎PC,‎Windows 11 Pro,‎5.64 pounds,‎14.1 x 9.5 x 0.78 inches,‎14.1 x 9.5 x 0.78 inches,‎Dark Ash Silver,‎Intel,‎4,‎DDR4 SDRAM,,‎PCIE x 4,‎no,,,,‎2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460.98
22,‎15.6 Inches,‎1366 x 768 pixels,‎1366 x 768 Pixels,‎3.7 GHz pentium,‎16 GB DDR4,‎3200 MHz,‎128 GB SSD,‎Intel UHD Graphics,‎Intel,‎Integrated,,‎801.11ac,‎3,,‎HP,‎TPN-Q284_632**AV,‎TPN-Q284_632**AV,‎PC,‎Windows 11 Home,‎3.52 pounds,‎14.17 x 9.29 x 0.73 inches,‎14.17 x 9.29 x 0.73 inches,‎Red,‎Intel,‎4,‎DDR4 SDRAM,,‎PCIE x 4,‎No Optical Drive,‎12 Volts,‎1 Lithium Ion batteries required.,‎AC & Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.99
23,‎14 Inches,‎1366 x 768 pixels,‎1366 x 768 Pixels,‎2.6 GHz celeron,‎16 GB DDR4,‎3200 MHz,‎64 GB SSD,‎Intel UHD Graphics,‎Intel,‎Integrated,‎16 GB,‎801.11ac,‎3,,‎HP,‎TPN-Q221,‎TPN-Q221,‎PC,‎Windows 11 Home,‎3.3 pounds,‎12.76 x 8.86 x 0.71 inches,‎12.76 x 8.86 x 0.71 inches,‎Silver,‎Intel,‎4,‎DDR4 SDRAM,,‎PCIE x 4,‎NO DVD,,‎1 Lithium Ion batteries required.,‎AC & Battery,‎1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.99
24,‎14 Inches,‎1366 x 768 pixels,‎1366 x 768 Pixels,‎1.1 GHz celeron,‎16 GB DDR4,,‎128 GB Emmc,‎Intel UHD Graphics,‎Intel,‎Integrated,,‎802.11ac,,,‎HP,‎HP Stream,‎HP Stream N4120,‎PC,‎‎Windows 11 S,‎3.24 pounds,‎12.76 x 8.86 x 0.71 inches,‎12.76 x 8.86 x 0.71 inches,‎Gold,‎Intel,‎4,‎DDR4 SDRAM,,‎Solid State,,‎3.6 Volts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309.0
25,‎14 Inches,‎1920 x 1080 pixels,‎1920 x 1080 Pixels,‎2 GHz cortex,‎4 GB DDR4,,‎64 GB Emmc,‎Integrated ARM Mali-G52 2EE MC2 GPU,‎MediaTek,‎Integrated,‎4 GB,‎802.11ax,‎2,‎13.5 Hours,‎Lenovo,‎Newest Flagship Lenovo Chromebook,‎Newest Flagship Lenovo Chromebook,‎PC,‎Chrome OS,‎2.86 pounds,‎12.83 x 8.73 x 0.73 inches,‎12.83 x 8.73 x 0.73 inches,‎Blue,‎MediaTek,‎8,‎DDR SDRAM,,‎Solid State,‎no,,‎1 Lithium Ion batteries required. (included),‎AC & Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.0
26,‎15.6 Inches,‎1920 x 1080 pixels,‎1920 x 1080 Pixels,‎3.3 GHz ryzen_5,‎16 GB DDR5,,‎1 TB SSD,‎NVIDIA GeForce RTX 2050,‎NVIDIA,‎Dedicated,‎16 GB,‎Bluetooth,‎3,,‎HP,‎TPN-Q279_598U1AV,‎TPN-Q279_598U1AV,‎PC,‎Windows 11 Home,‎5.1 pounds,‎14.09 x 10.04 x 0.93 inches,‎14.09 x 10.04 x 0.93 inches,‎Silver,‎AMD,‎6,‎DDR5 RAM,,‎PCIE x 4,‎No Optical Drive,‎240 Volts,‎1 Lithium Ion batteries required. (included),‎AC & Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,628.0
27,‎15.6 Inches,‎1920 x 1080 pixels,,‎3.3 pentium,‎40 DDR4,,‎SSD,,‎Intel,‎Integrated,,,‎2,,‎Lenovo,‎laptop,‎V15,,‎Windows 11,‎3.75 pounds,‎14.14 x 9.28 x 0.78 inches,‎14.14 x 9.28 x 0.78 inches,,‎Intel,‎4,‎DDR4 SDRAM,,,,,,,‎1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374.99
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1699.55
30,‎15 Inches,‎1366 x 768 pixels,‎1366 x 768 Pixels,‎2.7 GHz pentium,‎8 GB DDR4,,‎128 GB SSD,‎Intel,‎Intel,‎Integrated,‎8 GB,‎Bluetooth,‎3,,‎HP,"‎HP 15"" Laptop","‎HP 15"" Laptop",‎PC,‎Windows 11,‎0.635 ounces,‎14.11 x 9.53 x 0.71 inches,‎14.11 x 9.53 x 0.71 inches,‎Red,‎Intel,‎4,‎DDR4 SDRAM,,‎Solid State,‎No optical storage drive,,‎1 Lithium Ion batteries required.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.0
